sample_size,power,mcse,method,lower,upper,p_value_power,p_value_mcse,p_value_upper,p_value_lower
150,0.046200000000000005,0.0029686885993650465,LR,0.040381477263929856,0.052018522736070154,0.0438,0.0028941858958954243,0.04947250012051882,0.03812749987948118
150,0.0492,0.0030587369942510585,OLR,0.04320498565308763,0.055195014346912374,0.0492,0.0030587369942510585,0.055195014346912374,0.04320498565308763
155,0.0446,0.0029192752525241603,GLM_Gamma,0.038878325644093575,0.050321674355906426,0.0434,0.0028815426424052795,0.04904771979903073,0.037752280200969275
155,0.042800000000000005,0.0028624520956690267,GLM_Gaussian,0.03718969698501751,0.048410303014982496,0.0408,0.002797690476089162,0.04628337257302548,0.03531662742697453
155,0.051000000000000004,0.0031112376958374625,Log_LR,0.04490208616881519,0.057097913831184816,0.0492,0.0030587369942510585,0.055195014346912374,0.04320498565308763
155,0.046,0.002962566454950842,LR,0.040193476446489844,0.051806523553510155,0.0434,0.0028815426424052795,0.04904771979903073,0.037752280200969275
155,0.0468,0.0029869636757081596,OLR,0.04094565877248263,0.05265434122751737,0.0468,0.0029869636757081596,0.05265434122751737,0.04094565877248263
160,0.0526,0.003156999841621789,GLM_Gamma,0.046412394011222644,0.05878760598877736,0.0504,0.0030938597253269257,0.056463853634859756,0.044336146365140244
160,0.0514,0.0031227564746550444,GLM_Gaussian,0.04527950977718685,0.05752049022281315,0.049,0.0030528347482299137,0.05498344615728303,0.04301655384271697
160,0.0476,0.0030111207215918795,Log_LR,0.04169831183257766,0.053501688167422345,0.0464,0.0029747954551531774,0.05223049195347366,0.040569508046526336
160,0.055200000000000006,0.003229642704696605,LR,0.048870016615862134,0.06152998338413788,0.0526,0.003156999841621789,0.05878760598877736,0.046412394011222644
160,0.0546,0.003213062090903318,OLR,0.04830251402173854,0.060897485978261466,0.0546,0.003213062090903318,0.060897485978261466,0.04830251402173854
